Date,Day,Gender,City,Food_ordered,Restaurant,order_value,Rating,Payment_option,order_status,veg_non_veg,,,,
30-04-2023,Monday,Female,Karur,Chettinad chicken Gravy,Denmarrk Drive-Inn Restaurant,235,3,Debit Card,Delivered,Non-Veg,,,,
24-03-2023,Tuesday,Female,Avinashi,Chilli chicken,Haribhavanam,1206,4,COD,Delivered,Non-Veg,,,,
22-03-2023,Friday,Female,Tiruvannamalai,Mutton Briyani,Asife Briyani,240,5,Debit Card,Delivered,Non-Veg,,,,
02-03-2023,Thursday,Male,Trichy,Gobi manchurian,Hotel Saravana Bhavan,1752,2,COD,Delivered,Veg,,,,
06-06-2023,Sunday,Female,Karur,Chilli chicken,Hotel Saravana Bhavan,682,3,Debit Card,Delivered,Non-Veg,,,,
12-04-2023,Friday,Male,Vellore,Chilli chicken,Khalids Briyani,2044,5,COD,Delivered,Non-Veg,,,,
15-03-2023,Saturday,Female,Nagercoil,Palak paneer,Hotel A2B,804,3,UPI,Delivered,Veg,,,,
02-06-2023,Monday,Female,Dindigul,Masala dosa,Zara's Home Food,788,2,Credit Card,Delivered,Veg,,,,
26-04-2023,Sunday,Male,Pollachi,Pulao,Hotel A2B,1206,1,Credit Card,Delivered,Veg,,,,
03-05-2023,Friday,Female,Nagercoil,Paneer Hyderabadi Gravy,Denmarrk Drive-Inn Restaurant,324,5,COD,Delivered,Veg,,,,
17-08-2023,Wednesday,Male,Dindigul,Dosa,Hotel Saravana Bhavan,250,1,UPI,Delivered,Veg,,,,
24-03-2023,Tuesday,Female,Avinashi,Fish fry,Haribhavanam,55,2,UPI,Delivered,Non-Veg,,,,
29-08-2023,Friday,Male,Tirunelveli,Mutton Briyani,Asife Briyani,1183,5,COD,Delivered,Non-Veg,,,,
08-04-2023,Friday,Female,Avinashi,Mushroom Masala,Haribhavanam,757,2,UPI,Delivered,Veg,,,,
24-03-2023,Saturday,Male,Karur,Veg Schezwan Momo,Zara's Home Food,1040,2,Credit Card,Delivered,Veg,,,,
23-08-2023,Wednesday,Male,Coimbatore,Gobi manchurian,Hotel Junior Kuppanna,163,3,Credit Card,Delivered,Veg,,,,
15-02-2023,Sunday,Male,Vellore,Gobi manchurian,Denmarrk Drive-Inn Restaurant,685,5,COD,Delivered,Veg,,,,
22-10-2023,Friday,Female,Karur,Veg fried rice,Hotel Junior Kuppanna,238,2,Debit Card,Delivered,Veg,,,,
18-06-2023,Wednesday,Female,Coimbatore,Masala dosa,Hotel Anjappar,2655,2,Credit Card,Delivered,Veg,,,,
03-08-2023,Saturday,Male,Madurai,Jigarthanda,Famous Jigarthanda,175,2,COD,Delivered,Veg,,,,
27-04-2023,Monday,Male,Madurai,appam,Hotel Junior Kuppanna,2933,5,Credit Card,Delivered,Veg,,,,
12-11-2023,Thursday,Male,Chennai,Gobi manchurian,Hotel Saravana Bhavan,409,2,COD,Delivered,Veg,,,,
31-03-2023,Saturday,Female,Vellore,Mutton curry,Denmarrk Drive-Inn Restaurant,985,5,COD,Delivered,Non-Veg,,,,
24-03-2023,Monday,Female,Tirunelveli,Chettinad chicken Gravy,Saravana Bhavan,1752,3,UPI,Delivered,Non-Veg,,,,
10-06-2023,Monday,Male,Avinashi,Veg fried rice,Haribhavanam,2893,3,COD,Delivered,Veg,,,,
21-02-2023,Monday,Female,Madurai,idli,Sree Akshayam,450,3,UPI,Delivered,Veg,,,,
04-06-2023,Saturday,Female,Chennai,Veg Schezwan Momo,Hotel Anjappar,242,1,Debit Card,Delivered,Veg,,,,
09-02-2023,Wednesday,Male,Salem,Pulao,Hotel Junior Kuppanna,375,2,UPI,Delivered,Veg,,,,
13-08-2023,Wednesday,Female,Nagercoil,Gobi manchurian,Hotel Anjappar,302,1,COD,Delivered,Veg,,,,
06-02-2023,Wednesday,Male,Erode,Naan,Denmarrk Drive-Inn Restaurant,2758,2,Debit Card,Delivered,Veg,,,,
11-12-2023,Saturday,Male,Karur,Mutton Briyani,Asife Briyani,327,5,COD,Delivered,Non-Veg,,,,
11-09-2023,Monday,Male,Coimbatore,Schezwan fried rice,Sree Annapoorana,180,2,UPI,Delivered,Veg,,,,
13-01-2023,Wednesday,Female,Madurai,Veg Schezwan Momo,Hotel A2B,2010,2,Debit Card,Delivered,Veg,,,,
30-04-2023,Monday,Female,Avinashi,Gobi manchurian,Haribhavanam,2774,3,Debit Card,Delivered,Veg,,,,
03-03-2023,Sunday,Male,Tirunelveli,Pulao,Hotel Saravana Bhavan,3179,4,Debit Card,Delivered,Veg,,,,
15-09-2023,Sunday,Female,Avinashi,Mushroom Noodles,Haribhavanam,188,4,Debit Card,Delivered,Veg,,,,
28-10-2023,Wednesday,Male,Chennai,Egg curry,Junior Kuppanna,1129,5,Debit Card,Delivered,Non-Veg,,,,
11-02-2023,Wednesday,Female,Chennai,Chilli chicken,Hotel Anjappar,1139,5,Credit Card,Delivered,Non-Veg,,,,
18-04-2023,Thursday,Male,Karur,Dosa,Anjappar,250,4,Debit Card,Delivered,Veg,,,,
13-05-2023,Thursday,Female,Trichy,Mutton curry,Hotel A2B,700,4,COD,Delivered,Non-Veg,,,,
22-12-2023,Tuesday,Female,Chennai,Masala dosa,Hotel Saravana Bhavan,319,1,COD,Delivered,Veg,,,,
28-06-2023,Tuesday,Female,Salem,Shawarma,Hotel Junior Kuppanna,250,3,COD,Delivered,Non-Veg,,,99,
11-01-2023,Friday,Male,Trichy,Fish fry,Denmarrk Drive-Inn Restaurant,3039,2,UPI,Delivered,Non-Veg,,,,
10-11-2023,Sunday,Female,Trichy,Paneer tikka,Hotel A2B,1810,4,Credit Card,Delivered,Veg,,,,
14-06-2023,Saturday,Female,Trichy,Grilled Chicken,TOVO Trichy,350,1,Debit Card,Delivered,Non-Veg,,,,
16-01-2023,Sunday,Female,Trichy,Grilled Chicken,TOVO Trichy,2174,2,Debit Card,Delivered,Non-Veg,,,,
11-11-2023,Monday,Male,Dindigul,Paneer tikka,Anjappar,2503,4,Credit Card,Delivered,Veg,,,,
10-07-2023,Friday,Female,Trichy,Chettinad chicken Gravy,Hotel Junior Kuppanna,925,1,UPI,Delivered,Non-Veg,,,,
25-08-2023,Sunday,Male,Nagercoil,Pulao,Hotel Saravana Bhavan,1540,5,UPI,Delivered,Veg,,,,
17-03-2023,Wednesday,Male,Madurai,Jigarthanda,Famous Jigarthanda,78,3,COD,Delivered,Veg,,,,
19-09-2023,Sunday,Male,Tirunelveli,Mutton curry,Hotel A2B,2869,3,Debit Card,Delivered,Non-Veg,,,,
05-10-2023,Sunday,Male,Karur,Chilli chicken,Anjappar,1836,5,Credit Card,Delivered,Non-Veg,,,,
06-01-2023,Friday,Male,Madurai,Chilli chicken,Hotel Anjappar,304,5,Debit Card,Delivered,Non-Veg,,,,
02-11-2023,Sunday,Male,Karur,Tandoori roti,Hotel A2B,1043,4,Credit Card,Delivered,Veg,,,,
25-12-2023,Thursday,Male,Thanjavur,chicken biryani,Denmarrk Drive-Inn Restaurant,3246,3,Debit Card,Delivered,Non-Veg,,,,
21-05-2023,Thursday,Female,Pollachi,idli,Denmarrk Drive-Inn Restaurant,1772,2,UPI,Delivered,Veg,,,,
21-04-2023,Sunday,Female,Avinashi,Veg Schezwan Momo,Haribhavanam,1712,5,Credit Card,Delivered,Veg,,,,
03-06-2023,Friday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,180,1,COD,Delivered,Veg,,,,
02-08-2023,Friday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,3332,5,COD,Delivered,Non-Veg,,,,
10-03-2023,Friday,Female,Pollachi,Shawarma,Mad Grill,180,5,UPI,Delivered,Veg,,,99,
01-12-2023,Friday,Male,Tiruppur,appam,Hotel Junior Kuppanna,2368,2,Debit Card,Delivered,Veg,,,,
18-03-2023,Sunday,Male,Trichy,Chilli chicken,Hotel A2B,1554,4,Credit Card,Delivered,Non-Veg,,,,
04-01-2023,Sunday,Male,Madurai,Chilli chicken,Khalids Briyani,525,3,Credit Card,Delivered,Non-Veg,,,,
02-03-2023,Friday,Female,Tiruvannamalai,Naan,Hotel Anjappar,91,4,Credit Card,Delivered,Veg,,,,
17-09-2023,Friday,Female,Pollachi,Shawarma,Mad Grill,430,3,COD,Delivered,Veg,,,99,
19-11-2023,Tuesday,Male,Erode,Paneer Fried Momos,Hotel A2B,970,5,COD,Delivered,Veg,,,,
22-09-2023,Friday,Female,Tiruvannamalai,chicken biryani,Hotel A2B,3223,4,Credit Card,Delivered,Non-Veg,,,,
16-11-2023,Friday,Male,Dindigul,Chettinad chicken Gravy,Denmarrk Drive-Inn Restaurant,2953,5,COD,Delivered,Non-Veg,,,,
02-07-2023,Wednesday,Male,Karur,idli,Denmarrk Drive-Inn Restaurant,180,2,UPI,Delivered,Veg,,,,
21-01-2023,Monday,Male,Avinashi,Chettinad chicken Gravy,Haribhavanam,966,3,Debit Card,Delivered,Non-Veg,,,,
08-03-2023,Monday,Male,Coimbatore,Schezwan fried rice,Sree Annapoorana,562,1,COD,Delivered,Veg,,,,
07-11-2023,Saturday,Female,Salem,idli,Hotel Anjappar,250,3,Credit Card,Delivered,Veg,,,,
15-06-2023,Monday,Male,Erode,Chettinad chicken Gravy,Hotel A2B,2549,1,Credit Card,Delivered,Non-Veg,,,,
01-09-2023,Monday,Male,Trichy,Pulao,Denmarrk Drive-Inn Restaurant,1390,5,Debit Card,Delivered,Veg,,,,
23-11-2023,Wednesday,Female,Trichy,Tandoori roti,Hotel Junior Kuppanna,3314,5,COD,Delivered,Veg,,,,
20-12-2023,Friday,Female,Tiruppur,Veg fried rice,Hotel A2B,1561,2,UPI,Delivered,Veg,,,,
12-10-2023,Friday,Male,Dindigul,chicken biryani,Hotel Anjappar,2848,5,Credit Card,Delivered,Non-Veg,,,,
16-03-2023,Sunday,Female,Karur,Veg Schezwan Momo,Hotel Junior Kuppanna,1300,3,Credit Card,Delivered,Veg,,,,
27-05-2023,Thursday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,150,5,COD,Delivered,Veg,,,,
27-07-2023,Saturday,Male,Chennai,Chilli chicken,Hotel A2B,2233,5,UPI,Delivered,Non-Veg,,,,
21-01-2023,Friday,Female,Tiruvannamalai,Gobi manchurian,Hotel Saravana Bhavan,2470,1,COD,Delivered,Veg,,,,
20-05-2023,Saturday,Male,Pollachi,Paneer tikka,Hotel A2B,402,2,Debit Card,Delivered,Veg,,,,
30-04-2023,Monday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,150,4,Credit Card,Delivered,Veg,,,,
05-04-2023,Sunday,Male,Karur,Tandoori roti,Denmarrk Drive-Inn Restaurant,258,4,Debit Card,Delivered,Veg,,,,
20-12-2023,Sunday,Male,Trichy,Grilled Chicken,TOVO Trichy,1249,3,COD,Delivered,Non-Veg,,,,
06-01-2023,Friday,Female,Thanjavur,Paneer tikka,Denmarrk Drive-Inn Restaurant,2247,3,COD,Delivered,Veg,,,,
17-01-2023,Monday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,71,3,UPI,Delivered,Veg,,,,
24-05-2023,Thursday,Female,Dindigul,Veg Schezwan Momo,Denmarrk Drive-Inn Restaurant,1570,4,COD,Delivered,Veg,,,,
02-11-2023,Sunday,Male,Coimbatore,Fish fry,Hotel Junior Kuppanna,3286,1,COD,Delivered,Non-Veg,,,,
05-09-2023,Friday,Male,Karur,Mutton Briyani,Asife Briyani,1570,4,COD,Delivered,Non-Veg,,,,
02-11-2023,Wednesday,Male,Erode,Dosa,Denmarrk Drive-Inn Restaurant,150,3,Debit Card,Delivered,Veg,,,,
21-07-2023,Sunday,Female,Tirunelveli,appam,Hotel A2B,99,2,UPI,Delivered,Veg,,,,
30-08-2023,Thursday,Female,Dindigul,Naan,Hotel Junior Kuppanna,3461,5,UPI,Delivered,Veg,,,,
30-09-2023,Sunday,Male,Avinashi,Mushroom Masala,Haribhavanam,3473,2,Debit Card,Delivered,Veg,,,,
08-04-2023,Saturday,Female,Thanjavur,Mutton curry,Hotel Junior Kuppanna,2145,5,UPI,Delivered,Non-Veg,,,,
15-08-2023,Monday,Female,Tiruvannamalai,Masala dosa,Denmarrk Drive-Inn Restaurant,3049,3,Debit Card,Delivered,Veg,,,,
28-10-2023,Wednesday,Female,Coimbatore,Rose Milk,Sree Annapoorana,300,4,Debit Card,Delivered,Veg,,,,
14-12-2023,Tuesday,Male,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,2142,1,Credit Card,Delivered,Non-Veg,,,,
06-11-2023,Friday,Female,Coimbatore,Rose Milk,Sree Annapoorana,150,4,Debit Card,Delivered,Veg,,,,
06-12-2023,Thursday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,771,3,Debit Card,Delivered,Veg,,,,
03-12-2023,Saturday,Female,Coimbatore,Rose Milk,Sree Annapoorana,180,4,Debit Card,Delivered,Veg,,,,
06-06-2023,Thursday,Female,Erode,Tandoori roti,Denmarrk Drive-Inn Restaurant,1172,4,COD,Delivered,Veg,,,,
06-04-2023,Tuesday,Female,Salem,Fish fry,Hotel A2B,1482,1,UPI,Delivered,Non-Veg,,,,
18-11-2023,Tuesday,Female,Nagercoil,Mutton Briyani,Asife Briyani,1500,3,Credit Card,Delivered,Non-Veg,,,,
05-03-2023,Wednesday,Female,Avinashi,Egg curry,Haribhavanam,486,2,COD,Delivered,Non-Veg,,,,
22-08-2023,Monday,Male,Dindigul,Tandoori roti,Hotel Junior Kuppanna,3084,5,UPI,Delivered,Veg,,,,
21-05-2023,Monday,Female,Erode,chicken biryani,Hotel Saravana Bhavan,2268,1,Credit Card,Delivered,Non-Veg,,,,
20-09-2023,Friday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,300,3,COD,Delivered,Veg,,,,
03-12-2023,Saturday,Male,Avinashi,Mutton curry,Haribhavanam,2170,5,UPI,Delivered,Non-Veg,,,,
08-04-2023,Thursday,Female,Pollachi,Shawarma,Mad Grill,630,3,COD,Delivered,Non-Veg,,,99,
26-05-2023,Sunday,Female,Thanjavur,Paneer Hyderabadi Gravy,Hotel Junior Kuppanna,250,1,Credit Card,Delivered,Veg,,,,
18-12-2023,Saturday,Male,Avinashi,Dosa,Haribhavanam,102,2,Debit Card,Delivered,Veg,,,,
25-07-2023,Tuesday,Male,Pollachi,Shawarma,Mad Grill,250,3,Credit Card,Delivered,Veg,,,99,
21-03-2023,Monday,Male,Tirunelveli,Paneer Fried Momos,Anjappar,1129,4,UPI,Delivered,Veg,,,,
08-12-2023,Thursday,Male,Thanjavur,chicken biryani,Denmarrk Drive-Inn Restaurant,2513,1,Debit Card,Delivered,Non-Veg,,,,
05-11-2023,Wednesday,Male,Tiruvannamalai,Pulao,Hotel Junior Kuppanna,2045,4,Debit Card,Delivered,Veg,,,,
22-05-2023,Thursday,Male,Salem,idli,Denmarrk Drive-Inn Restaurant,150,4,UPI,Delivered,Veg,,,,
07-09-2023,Sunday,Male,Tiruppur,Palak paneer,Saravana Bhavan,1446,4,UPI,Delivered,Veg,,,,
06-04-2023,Friday,Female,Avinashi,Mutton curry,Haribhavanam,677,4,Credit Card,Delivered,Non-Veg,,,,
25-10-2023,Friday,Male,Avinashi,Paneer tikka,Haribhavanam,925,4,UPI,Delivered,Veg,,,,
21-10-2023,Thursday,Male,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,510,3,Debit Card,Delivered,Non-Veg,,,,
28-09-2023,Friday,Female,Dindigul,Fish fry,Hotel Anjappar,2246,3,Credit Card,Delivered,Non-Veg,,,,
14-02-2023,Monday,Male,Thanjavur,Veg fried rice,Hotel Anjappar,2619,5,UPI,Delivered,Veg,,,,
13-10-2023,Tuesday,Female,Thanjavur,appam,Hotel A2B,1418,2,COD,Delivered,Veg,,,,
12-09-2023,Tuesday,Female,Chennai,Schezwan fried rice,Hotel Saravana Bhavan,838,4,Credit Card,Delivered,Veg,,,,
21-01-2023,Friday,Female,Trichy,Paneer Hyderabadi Gravy,Hotel A2B,250,4,Debit Card,Delivered,Veg,,,,
05-07-2023,Sunday,Male,Nagercoil,chicken biryani,Hotel Junior Kuppanna,1798,5,Debit Card,Delivered,Non-Veg,,,,
07-01-2023,Tuesday,Male,Avinashi,Gobi manchurian,Haribhavanam,2254,5,UPI,Delivered,Veg,,,,
08-01-2023,Wednesday,Male,Karur,Mushroom Masala,Junior Kuppanna,151,2,Debit Card,Delivered,Veg,,,,
14-03-2023,Sunday,Female,Tiruppur,Gobi manchurian,Denmarrk Drive-Inn Restaurant,3411,1,Debit Card,Delivered,Veg,,,,
12-12-2023,Friday,Male,Tirunelveli,Mushroom Masala,Denmarrk Drive-Inn Restaurant,560,2,UPI,Delivered,Veg,,,,
14-01-2023,Friday,Female,Tirunelveli,Pulao,Hotel A2B,3458,5,COD,Delivered,Veg,,,,
17-12-2023,Thursday,Female,Pollachi,Veg Schezwan Momo,Hotel Saravana Bhavan,250,1,COD,Delivered,Veg,,,,
09-07-2023,Saturday,Female,Chennai,Mutton Briyani,Asife Briyani,422,4,Credit Card,Delivered,Non-Veg,,,,
10-09-2023,Wednesday,Female,Avinashi,Paneer Hyderabadi Gravy,Haribhavanam,250,3,Credit Card,Delivered,Veg,,,,
11-11-2023,Friday,Female,Dindigul,Chettinad chicken Gravy,Hotel A2B,2325,2,Credit Card,Delivered,Non-Veg,,,,
06-02-2023,Sunday,Male,Pollachi,Grilled Chicken,Mad Grill,1257,2,COD,Delivered,Non-Veg,,,,
20-05-2023,Sunday,Female,Karur,chicken biryani,Hotel Junior Kuppanna,153,5,COD,Delivered,Non-Veg,,,,
21-03-2023,Tuesday,Male,Tiruppur,Egg curry,Hotel A2B,1602,2,Credit Card,Delivered,Non-Veg,,,,
25-09-2023,Friday,Female,Avinashi,Pulao,Haribhavanam,1067,3,COD,Delivered,Veg,,,,
30-08-2023,Saturday,Male,Avinashi,Mushroom Noodles,Haribhavanam,188,3,Credit Card,Delivered,Veg,,,,
03-07-2023,Monday,Female,Coimbatore,Rose Milk,Sree Annapoorana,190,5,COD,Delivered,Veg,,,,
14-06-2023,Sunday,Female,Trichy,Chilli chicken,Hotel A2B,1280,5,COD,Delivered,Non-Veg,,,,
04-08-2023,Monday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,2850,2,Credit Card,Delivered,Non-Veg,,,,
10-06-2023,Friday,Female,Pollachi,Shawarma,Mad Grill,180,3,UPI,Delivered,Veg,,,99,
05-03-2023,Tuesday,Male,Coimbatore,Pulao,Hotel Junior Kuppanna,2958,1,Credit Card,Delivered,Veg,,,,
27-11-2023,Friday,Female,Nagercoil,idli,Hotel Junior Kuppanna,210,3,Credit Card,Delivered,Veg,,,,
09-04-2023,Wednesday,Female,Tiruvannamalai,idli,Hotel Junior Kuppanna,950,2,UPI,Delivered,Veg,,,,
04-11-2023,Thursday,Female,Pollachi,Naan,Hotel Saravana Bhavan,1532,3,UPI,Delivered,Veg,,,,
10-03-2023,Saturday,Male,Nagercoil,Chilli chicken,Hotel Saravana Bhavan,168,4,COD,Delivered,Non-Veg,,,,
01-06-2023,Saturday,Male,Coimbatore,Paneer Fried Momos,Sree Akshayam,3267,5,COD,Delivered,Veg,,,,
11-01-2023,Wednesday,Male,Avinashi,Paneer tikka,Haribhavanam,2485,5,Credit Card,Delivered,Veg,,,,
06-10-2023,Sunday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,1419,2,COD,Delivered,Non-Veg,,,,
17-01-2023,Thursday,Male,Madurai,Jigarthanda,Famous Jigarthanda,105,1,Credit Card,Delivered,Veg,,,,
01-10-2023,Tuesday,Female,Karur,Paneer Hyderabadi Gravy,Hotel Saravana Bhavan,516,3,COD,Delivered,Veg,,,,
18-05-2023,Saturday,Female,Erode,idli,Hotel A2B,262,5,UPI,Delivered,Veg,,,,
15-09-2023,Saturday,Female,Coimbatore,Rose Milk,Sree Annapoorana,100,4,Credit Card,Delivered,Veg,,,,
28-12-2023,Friday,Male,Avinashi,Appam,Haribhavanam,150,2,Credit Card,Delivered,Veg,,,,
08-02-2023,Sunday,Female,Coimbatore,Rose Milk,Sree Annapoorana,180,4,Credit Card,Delivered,Veg,,,,
14-06-2023,Thursday,Female,Avinashi,Veg Schezwan Momo,Haribhavanam,2854,5,UPI,Delivered,Veg,,,,
20-04-2023,Saturday,Female,Salem,Mushroom Masala,Hotel A2B,146,2,COD,Delivered,Veg,,,,
15-06-2023,Friday,Male,Trichy,Pulao,Hotel Anjappar,3045,4,COD,Delivered,Veg,,,,
06-11-2023,Wednesday,Female,Salem,Paneer tikka,Hotel A2B,671,2,COD,Delivered,Veg,,,,
23-05-2023,Tuesday,Female,Erode,Dosa,Hotel Anjappar,250,2,COD,Delivered,Veg,,,,
24-02-2023,Friday,Male,Pollachi,Naan,Hotel Saravana Bhavan,3231,2,Credit Card,Delivered,Veg,,,,
27-06-2023,Sunday,Female,Dindigul,Tandoori roti,Hotel Junior Kuppanna,2618,1,UPI,Delivered,Veg,,,,
15-09-2023,Tuesday,Female,Karur,Mushroom Masala,Zara's Home Food,754,3,COD,Delivered,Veg,,,,
03-06-2023,Sunday,Female,Coimbatore,Rose Milk,Sree Annapoorana,75,3,Credit Card,Delivered,Veg,,,,
21-01-2023,Sunday,Male,Nagercoil,appam,Hotel A2B,2337,3,UPI,Delivered,Veg,,,,
24-12-2023,Friday,Male,Avinashi,Veg fried rice,Haribhavanam,2448,5,Credit Card,Delivered,Veg,,,,
14-05-2023,Wednesday,Female,Chennai,Rose Milk,Hotel A2B,75,5,COD,Delivered,Veg,,,,
23-10-2023,Tuesday,Female,Avinashi,Appam,Haribhavanam,450,2,COD,Delivered,Veg,,,,
24-09-2023,Thursday,Female,Chennai,Schezwan fried rice,Hotel Saravana Bhavan,503,0,COD,Cancelled,Veg,,,,
21-05-2023,Monday,Male,Tirunelveli,Mutton curry,Hotel Junior Kuppanna,3391,0,COD,Cancelled,Non-Veg,,,,
17-02-2023,Thursday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,1963,5,Credit Card,Delivered,Non-Veg,,,,
15-09-2023,Thursday,Male,Salem,Paneer tikka,Denmarrk Drive-Inn Restaurant,1978,0,COD,Cancelled,Veg,,,,
02-03-2023,Friday,Male,Erode,Pulao,Denmarrk Drive-Inn Restaurant,2684,1,COD,Delivered,Veg,,,,
12-12-2023,Thursday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,2955,0,COD,Cancelled,Non-Veg,,,,
11-01-2023,Wednesday,Female,Pollachi,Shawarma,Mad Grill,180,0,COD,Cancelled,Veg,,,99,
25-10-2023,Thursday,Female,Madurai,Paneer tikka,Denmarrk Drive-Inn Restaurant,1558,0,COD,Cancelled,Veg,,,,
20-10-2023,Friday,Male,Avinashi,Veg Schezwan Momo,Haribhavanam,1296,4,COD,Delivered,Veg,,,,
15-09-2023,Wednesday,Female,Tiruvannamalai,Paneer Fried Momos,Hotel Saravana Bhavan,3353,2,UPI,Delivered,Veg,,,,
13-03-2023,Friday,Female,Dindigul,Veg Schezwan Momo,Hotel Saravana Bhavan,250,0,COD,Cancelled,Veg,,,,
24-05-2023,Saturday,Male,Chennai,Schezwan fried rice,Hotel Saravana Bhavan,450,2,COD,Delivered,Veg,,,,
14-09-2023,Tuesday,Female,Coimbatore,Masala dosa,Hotel Anjappar,1565,3,COD,Delivered,Veg,,,,
05-04-2023,Tuesday,Female,Tiruppur,Chilli chicken,Denmarrk Drive-Inn Restaurant,3200,0,COD,Cancelled,Non-Veg,,,,
20-11-2023,Saturday,Male,Avinashi,Appam,Haribhavanam,150,3,COD,Delivered,Veg,,,,
18-12-2023,Sunday,Male,Chennai,Masala dosa,Denmarrk Drive-Inn Restaurant,2061,0,COD,Cancelled,Veg,,,,
24-11-2023,Sunday,Female,Erode,Paneer Fried Momos,Anjappar,1209,4,COD,Delivered,Veg,,,,
12-11-2023,Sunday,Female,Madurai,Jigarthanda,Famous Jigarthanda,180,1,Credit Card,Delivered,Veg,,,,
22-10-2023,Friday,Male,Avinashi,Chicken biryani,Haribhavanam,180,4,UPI,Delivered,Non-Veg,,,,
30-12-2023,Saturday,Male,Tiruppur,Veg Schezwan Momo,Hotel A2B,682,4,Credit Card,Delivered,Veg,,,,
04-05-2023,Wednesday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,300,4,COD,Delivered,Veg,,,,
20-02-2023,Thursday,Female,Nagercoil,Gobi manchurian,Hotel Junior Kuppanna,2627,4,Credit Card,Delivered,Veg,,,,
24-02-2023,Sunday,Female,Avinashi,Fish fry,Haribhavanam,1192,3,UPI,Delivered,Non-Veg,,,,
28-06-2023,Sunday,Male,Nagercoil,appam,Denmarrk Drive-Inn Restaurant,1795,3,UPI,Delivered,Veg,,,,
15-09-2023,Thursday,Female,Thanjavur,Paneer Hyderabadi Gravy,Hotel Anjappar,1250,0,COD,Cancelled,Veg,,,,
24-11-2023,Wednesday,Male,Karur,Fish fry,Hotel Junior Kuppanna,971,4,COD,Delivered,Non-Veg,,,,
24-11-2023,Monday,Male,Avinashi,Egg curry,Haribhavanam,2396,4,COD,Delivered,Non-Veg,,,,
08-11-2023,Sunday,Male,Coimbatore,Fish fry,Denmarrk Drive-Inn Restaurant,2200,2,COD,Delivered,Non-Veg,,,,
03-05-2023,Thursday,Male,Madurai,Mushroom Masala,Hotel A2B,98,3,COD,Delivered,Veg,,,,
21-06-2023,Saturday,Male,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,2113,0,COD,Cancelled,Non-Veg,,,,
13-06-2023,Tuesday,Female,Madurai,Veg Schezwan Momo,Hotel A2B,280,0,COD,Cancelled,Veg,,,,
15-08-2023,Friday,Male,Avinashi,Chilli chicken,Haribhavanam,3238,4,Credit Card,Delivered,Non-Veg,,,,
13-01-2023,Monday,Female,Pollachi,Shawarma,Mad Grill,250,0,COD,Cancelled,Non-Veg,,,,
23-05-2023,Saturday,Male,Erode,Paneer Hyderabadi Gravy,Hotel A2B,760,3,COD,Delivered,Veg,,,,
26-04-2023,Friday,Male,Karur,Mutton Briyani,Asife Briyani,240,0,COD,Cancelled,Non-Veg,,,,
15-09-2023,Saturday,Female,Karur,chicken biryani,Hotel Junior Kuppanna,2422,0,COD,Cancelled,Non-Veg,,,,
22-05-2023,Tuesday,Male,Pollachi,Grilled Chicken,Mad Grill,607,3,Credit Card,Delivered,Non-Veg,,,,
05-02-2023,Saturday,Male,Thanjavur,Chettinad chicken Gravy,Hotel Junior Kuppanna,1167,5,COD,Delivered,Non-Veg,,,,
10-05-2023,Monday,Male,Pollachi,Veg Schezwan Momo,Hotel A2B,250,0,COD,Cancelled,Veg,,,,
02-02-2023,Thursday,Male,Coimbatore,Mutton Briyani,Asife Briyani,1860,3,Credit Card,Delivered,Non-Veg,,,,
25-04-2023,Monday,Female,Karur,Paneer Hyderabadi Gravy,Hotel Saravana Bhavan,355,1,COD,Delivered,Veg,,,,
15-09-2023,Monday,Female,Madurai,Fish fry,Hotel Anjappar,937,3,Credit Card,Delivered,Non-Veg,,,,
29-01-2023,Wednesday,Male,Vellore,Veg fried rice,Hotel Junior Kuppanna,1078,0,COD,Cancelled,Veg,,,,
21-12-2023,Thursday,Male,Trichy,Egg curry,Khalids Briyani,1963,5,COD,Delivered,Non-Veg,,,,
07-02-2023,Monday,Male,Thanjavur,idli,Hotel A2B,340,0,COD,Cancelled,Veg,,,,
27-10-2023,Tuesday,Female,Tirunelveli,Fish fry,Denmarrk Drive-Inn Restaurant,2618,1,Credit Card,Delivered,Non-Veg,,,,
12-05-2023,Wednesday,Male,Pollachi,Grilled Chicken,Mad Grill,933,3,UPI,Delivered,Non-Veg,,,,
